text_headline,text_description,latitude,longitude,media_url,media_caption,media_credit,date,background_color,background_opacity,type
Đảo Lý Sơn,"**Giới thiệu về đảo Lý Sơn**<br>&lt;br&gt;

&lt;img src=""<https://drt.danang.vn/content/images/size/w1024/format/avif/2024/09/ly-son-mua-nao-dep-nhat-7.jpg>"" alt=""Đảo Lý Sơn"" width=""100%"" height=""auto""&gt;",0,0,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker149_sm.jpg,Hunting near the Clearwater River,"William Allen Stonebraker Photographs, Photo Group 26",,,,overview
Cổng Tò Vò,"**Giới thiệu về đảo Lý Sơn**<br>&lt;br&gt;

&lt;img src=""<https://drt.danang.vn/content/images/size/w1024/format/avif/2024/09/ly-son-mua-nao-dep-nhat-7.jpg>"" alt=""Đảo Lý Sơn"" width=""100%"" height=""auto""&gt;",0,0,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker664_sm.jpg,Portrait of William Allen Stonebraker wearing a dark jacket.,"William Allen Stonebraker Photographs, Photo Group 26",,,,
Hang Câu,"**Giới thiệu về đảo Lý Sơn**<br>&lt;br&gt;

&lt;img src=""<https://drt.danang.vn/content/images/size/w1024/format/avif/2024/09/ly-son-mua-nao-dep-nhat-7.jpg>"" alt=""Đảo Lý Sơn"" width=""100%"" height=""auto""&gt;",0,0,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker623_sm.jpg,Distant view of Stonebraker Ranch,"William Allen Stonebraker Photographs, Photo Group 26",,,,
Chùa Hang,"**Giới thiệu về đảo Lý Sơn**<br>&lt;br&gt;

&lt;img src=""<https://drt.danang.vn/content/images/size/w1024/format/avif/2024/09/ly-son-mua-nao-dep-nhat-7.jpg>"" alt=""Đảo Lý Sơn"" width=""100%"" height=""auto""&gt;",0,0,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker174_sm.jpg,Stonebraker pack train,"William Allen Stonebraker Photographs, Photo Group 26",,,,
Đảo Bé,"**Giới thiệu về đảo Lý Sơn**<br>&lt;br&gt;

&lt;img src=""<https://drt.danang.vn/content/images/size/w1024/format/avif/2024/09/ly-son-mua-nao-dep-nhat-7.jpg>"" alt=""Đảo Lý Sơn"" width=""100%"" height=""auto""&gt;",0,0,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker507_sm.jpg,A scenic view of the river rounding a bend near Campbell's Ferry,"William Allen Stonebraker Photographs, Photo Group 26",,,,
Núi Thới Lới,"**Giới thiệu về đảo Lý Sơn**<br>&lt;br&gt;

&lt;img src=""<https://drt.danang.vn/content/images/size/w1024/format/avif/2024/09/ly-son-mua-nao-dep-nhat-7.jpg>"" alt=""Đảo Lý Sơn"" width=""100%"" height=""auto""&gt;",0,0,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker149_sm.jpg,Hunting near the Clearwater River,"William Allen Stonebraker Photographs, Photo Group 26",,,,
Chùa Đục,"**Giới thiệu về đảo Lý Sơn**<br>&lt;br&gt;

&lt;img src=""<https://drt.danang.vn/content/images/size/w1024/format/avif/2024/09/ly-son-mua-nao-dep-nhat-7.jpg>"" alt=""Đảo Lý Sơn"" width=""100%"" height=""auto""&gt;",0,0,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker664_sm.jpg,Portrait of William Allen Stonebraker wearing a dark jacket.,"William Allen Stonebraker Photographs, Photo Group 26",,,,
Hòn Mu Cu,"**Giới thiệu về đảo Lý Sơn**<br>&lt;br&gt;

&lt;img src=""<https://drt.danang.vn/content/images/size/w1024/format/avif/2024/09/ly-son-mua-nao-dep-nhat-7.jpg>"" alt=""Đảo Lý Sơn"" width=""100%"" height=""auto""&gt;",0,0,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker623_sm.jpg,Distant view of Stonebraker Ranch,"William Allen Stonebraker Photographs, Photo Group 26",,,,
